Home,Away,HGFT,AGFT
Italy,Sweden,0,0
Congo,Uganda,1,1
Ghana,Egypt,1,1
Greece,Croatia,0,0
Switzerland,Northern Ireland,0,0
D.R. Congo,Guinea,3,1
Denmark,Ireland,0,0
Gabon,Mali,0,0
Ivory Coast,Morocco,0,2
New Zealand,Peru,0,0
Tunisia,Libya,0,0
Zambia,Cameroon,2,2
Algeria,Nigeria,1,1
Honduras,Australia,0,0
South Africa,Senegal,0,2
Sweden,Italy,1,0
Croatia,Greece,4,1
Northern Ireland,Switzerland,0,1
Brazil,Chile,3,0
Ecuador,Argentina,1,3
Honduras,Mexico,3,2
Panama,Costa Rica,2,1
Paraguay,Venezuela,0,1
Peru,Colombia,1,1
Trinidad & Tobago,USA,2,1
Uruguay,Bolivia,4,2
Australia,Syria,,
Belgium,Cyprus,4,0
Estonia,Bosnia & Herzegovina,1,2
France,Belarus,2,1
Greece,Gibraltar,4,0
Hungary,Faroe Islands,1,0
Latvia,Andorra,4,0
Luxembourg,Bulgaria,1,1
Netherlands,Sweden,2,0
Portugal,Switzerland,2,0
Albania,Italy,0,1
Finland,Turkey,2,2
FYR Macedonia,Liechtenstein,4,0
Iceland,Kosovo,2,0
Israel,Spain,0,1
Moldova,Austria,0,1
Serbia,Georgia,1,0
Ukraine,Croatia,0,2
Wales,Ireland,0,1
Czech Republic,San Marino,5,0
Denmark,Romania,1,1
Egypt,Congo,2,1
Germany,Azerbaijan,5,1
Kazakhstan,Armenia,1,1
Lithuania,England,0,1
Norway,Northern Ireland,1,0
Poland,Montenegro,4,2
Slovakia,Malta,3,0
Slovenia,Scotland,2,2
Andorra,Portugal,0,2
Belarus,Netherlands,1,3
Bosnia & Herzegovina,Belgium,3,4
Bulgaria,France,0,1
Cameroon,Algeria,2,0
Cape Verde,Senegal,0,2
Costa Rica,Honduras,1,1
Cyprus,Greece,1,2
Faroe Islands,Latvia,0,0
Gibraltar,Estonia,0,6
Guinea,Tunisia,1,4
Libya,D.R. Congo,1,2
Mexico,Trinidad & Tobago,3,1
Morocco,Gabon,3,0
Nigeria,Zambia,1,0
South Africa,Burkina Faso,3,1
Sweden,Luxembourg,8,0
Switzerland,Hungary,5,2
Uganda,Ghana,0,0
USA,Panama,4,0
Argentina,Peru,0,0
Austria,Serbia,3,2
Chile,Ecuador,2,1
Colombia,Paraguay,1,2
Croatia,Finland,1,1
Georgia,Wales,0,1
Ireland,Moldova,2,0
Italy,FYR Macedonia,1,1
Kosovo,Ukraine,0,2
Liechtenstein,Israel,0,1
Mali,Ivory Coast,0,0
Spain,Albania,3,0
Turkey,Iceland,0,3
Armenia,Poland,1,6
Azerbaijan,Czech Republic,1,2
Bolivia,Brazil,0,0
England,Slovenia,1,0
Malta,Lithuania,1,1
Montenegro,Denmark,0,1
Northern Ireland,Germany,1,3
Romania,Kazakhstan,3,1
San Marino,Norway,0,8
Scotland,Slovakia,1,0
Syria,Australia,1,1
Venezuela,Uruguay,0,0
Argentina,Venezuela,1,1
Costa Rica,Mexico,1,1
Panama,Trinidad & Tobago,3,0
Paraguay,Uruguay,1,2
Algeria,Zambia,0,1
Australia,Thailand,2,1
Austria,Georgia,1,1
Bolivia,Chile,1,0
Burkina Faso,Senegal,2,2
Colombia,Brazil,1,1
Congo,Ghana,1,5
D.R. Congo,Tunisia,2,2
Ecuador,Peru,1,2
Egypt,Uganda,1,0
FYR Macedonia,Albania,1,1
Honduras,USA,1,1
Iceland,Ukraine,2,0
Iran,Syria,2,2
Iraq,United Arab Emirates,1,0
Ireland,Serbia,0,1
Italy,Israel,1,0
Ivory Coast,Gabon,1,2
Kosovo,Finland,0,1
Liechtenstein,Spain,0,8
Mali,Morocco,0,0
Moldova,Wales,0,2
Qatar,China,1,2
Saudi Arabia,Japan,1,0
Solomon Islands,New Zealand,2,2
South Africa,Cape Verde,1,2
Turkey,Croatia,1,0
Uzbekistan,South Korea,0,0
Armenia,Denmark,1,4
Azerbaijan,San Marino,5,1
Cameroon,Nigeria,1,1
England,Slovakia,2,1
Germany,Norway,6,0
Libya,Guinea,1,0
Montenegro,Romania,1,0
Northern Ireland,Czech Republic,2,0
Poland,Kazakhstan,3,0
Scotland,Malta,2,0
Slovenia,Lithuania,4,0
Belarus,Sweden,0,4
Croatia,Kosovo,1,0
Estonia,Cyprus,1,0
Faroe Islands,Andorra,1,0
France,Luxembourg,0,0
Gibraltar,Bosnia & Herzegovina,0,4
Greece,Belgium,1,2
Hungary,Portugal,0,1
Latvia,Switzerland,0,3
Netherlands,Bulgaria,3,1
Albania,Liechtenstein,2,0
Finland,Iceland,1,0
Gabon,Ivory Coast,0,3
Georgia,Ireland,1,1
Israel,FYR Macedonia,0,1
Mexico,Panama,1,0
Senegal,Burkina Faso,0,0
Serbia,Moldova,3,0
Spain,Italy,3,0
Trinidad & Tobago,Honduras,1,2
Ukraine,Turkey,2,0
Wales,Austria,1,0
Zambia,Algeria,3,1
Brazil,Ecuador,2,0
Cape Verde,South Africa,2,1
Czech Republic,Germany,1,2
Denmark,Poland,4,0
Ghana,Congo,1,1
Kazakhstan,Montenegro,0,3
Lithuania,Scotland,0,3
Malta,England,0,4
Morocco,Mali,6,0
New Zealand,Solomon Islands,6,1
Nigeria,Cameroon,4,0
Norway,Azerbaijan,2,0
Peru,Bolivia,2,1
Romania,Armenia,1,0
San Marino,Northern Ireland,0,3
Slovakia,Slovenia,1,0
Tunisia,D.R. Congo,2,1
Uruguay,Argentina,0,0
USA,Costa Rica,0,2
Belgium,Gibraltar,9,0
Bulgaria,Sweden,3,2
Chile,Paraguay,0,3
China,Uzbekistan,1,0
Cyprus,Bosnia & Herzegovina,3,2
France,Netherlands,4,0
Greece,Estonia,0,0
Guinea,Libya,3,2
Hungary,Latvia,3,1
Japan,Australia,2,0
Luxembourg,Belarus,1,0
Portugal,Faroe Islands,5,1
South Korea,Iran,0,0
Switzerland,Andorra,3,0
Syria,Qatar,3,1
Thailand,Iraq,1,2
Uganda,Egypt,1,0
Venezuela,Colombia,0,0
United Arab Emirates,Saudi Arabia,2,1
Costa Rica,Trinidad & Tobago,2,1
Panama,Honduras,2,2
Iraq,Japan,1,1
Papua New Guinea,Solomon Islands,1,2
Qatar,South Korea,3,2
Syria,China,2,2
Thailand,United Arab Emirates,1,1
Iran,Uzbekistan,2,0
Mexico,USA,1,1
Finland,Ukraine,1,2
FYR Macedonia,Spain,1,2
Iceland,Croatia,1,0
Ireland,Austria,1,1
Israel,Albania,0,3
Italy,Liechtenstein,5,0
Kosovo,Turkey,1,4
Moldova,Georgia,2,2
New Caledonia,Fiji,2,1
Serbia,Wales,1,1
Azerbaijan,Northern Ireland,0,1
Germany,San Marino,7,0
Kazakhstan,Denmark,1,3
Lithuania,Slovakia,1,2
Montenegro,Armenia,4,1
Norway,Czech Republic,1,1
Poland,Romania,3,1
Scotland,England,2,2
Slovenia,Malta,2,0
Andorra,Hungary,1,0
Belarus,Bulgaria,2,1
Bosnia & Herzegovina,Greece,0,0
Costa Rica,Panama,0,0
Estonia,Belgium,0,2
Faroe Islands,Switzerland,0,2
Gibraltar,Cyprus,1,2
Latvia,Portugal,0,3
Mexico,Honduras,3,0
Netherlands,Luxembourg,5,0
Solomon Islands,Papua New Guinea,3,2
Sweden,France,2,1
USA,Trinidad & Tobago,2,0
Australia,Saudi Arabia,3,2
Fiji,New Caledonia,2,2
Brazil,Paraguay,3,0
Panama,USA,1,1
Peru,Uruguay,2,1
Tahiti,Papua New Guinea,1,2
Trinidad & Tobago,Mexico,0,1
Australia,United Arab Emirates,2,0
Bolivia,Argentina,2,0
Chile,Venezuela,3,1
Ecuador,Colombia,0,2
Honduras,Costa Rica,1,1
Iran,China,1,0
Japan,Thailand,4,0
New Zealand,Fiji,2,0
Saudi Arabia,Iraq,1,0
South Korea,Syria,1,0
Uzbekistan,Qatar,1,0
Armenia,Kazakhstan,2,0
Azerbaijan,Germany,1,4
England,Lithuania,2,0
Malta,Slovakia,1,3
Montenegro,Poland,1,2
Northern Ireland,Norway,2,0
Romania,Denmark,0,0
San Marino,Czech Republic,0,6
Scotland,Slovenia,1,0
Andorra,Faroe Islands,0,0
Belgium,Greece,1,1
Bosnia & Herzegovina,Gibraltar,5,0
Bulgaria,Netherlands,2,0
Cyprus,Estonia,0,0
Fiji,New Zealand,0,2
Luxembourg,France,1,3
Mexico,Costa Rica,2,0
Portugal,Hungary,3,0
Sweden,Belarus,4,0
Switzerland,Latvia,1,0
USA,Honduras,6,0
Austria,Moldova,2,0
Croatia,Ukraine,1,0
Georgia,Serbia,1,3
Ireland,Wales,0,0
Italy,Albania,2,0
Kosovo,Iceland,1,2
Liechtenstein,FYR Macedonia,0,3
Spain,Israel,4,1
Trinidad & Tobago,Panama,1,0
Turkey,Finland,2,0
Argentina,Chile,1,0
China,South Korea,1,0
Colombia,Bolivia,1,0
Iraq,Australia,1,1
Papua New Guinea,Tahiti,1,3
Paraguay,Ecuador,2,1
Qatar,Iran,0,1
Syria,Uzbekistan,1,0
Thailand,Saudi Arabia,0,3
United Arab Emirates,Japan,0,2
Uruguay,Brazil,1,4
Venezuela,Peru,2,2
Costa Rica,USA,4,0
Panama,Mexico,0,0
Peru,Brazil,0,2
Argentina,Colombia,3,0
Bolivia,Paraguay,1,0
Chile,Uruguay,3,1
China,Qatar,0,0
Ecuador,Venezuela,3,0
Honduras,Trinidad & Tobago,3,1
Japan,Saudi Arabia,2,1
New Caledonia,New Zealand,0,0
South Korea,Uzbekistan,2,1
Syria,Iran,0,0
Thailand,Australia,2,2
United Arab Emirates,Iraq,2,0
Belgium,Estonia,8,1
Bulgaria,Belarus,1,0
Cyprus,Gibraltar,3,1
Egypt,Ghana,2,0
Greece,Bosnia & Herzegovina,1,1
Guinea,D.R. Congo,1,2
Hungary,Andorra,4,0
Luxembourg,Netherlands,1,3
Portugal,Latvia,4,1
Solomon Islands,Tahiti,1,0
Switzerland,Faroe Islands,2,0
Albania,Israel,0,3
Austria,Ireland,0,1
Cameroon,Zambia,1,1
Cape Verde,Burkina Faso,0,2
Croatia,Iceland,2,0
Georgia,Moldova,1,1
Liechtenstein,Italy,0,4
Mali,Gabon,0,0
Morocco,Ivory Coast,0,0
New Zealand,New Caledonia,2,0
Nigeria,Algeria,3,1
South Africa,Senegal,2,1
Spain,FYR Macedonia,4,0
Turkey,Kosovo,2,0
Uganda,Congo,1,0
Ukraine,Finland,1,0
USA,Mexico,1,2
Wales,Serbia,1,1
Armenia,Montenegro,3,2
Czech Republic,Norway,2,1
Denmark,Kazakhstan,4,1
England,Scotland,3,0
France,Sweden,2,1
Honduras,Panama,0,1
Libya,Tunisia,0,1
Malta,Slovenia,0,1
Northern Ireland,Azerbaijan,4,0
Romania,Poland,0,3
San Marino,Germany,0,8
Slovakia,Lithuania,4,0
Trinidad & Tobago,Costa Rica,0,2
Brazil,Argentina,3,0
Colombia,Chile,0,0
Paraguay,Peru,1,4
Uruguay,Ecuador,2,1
Venezuela,Bolivia,5,0
Tahiti,Solomon Islands,,
Argentina,Paraguay,0,1
Chile,Peru,2,1
Venezuela,Brazil,0,2
Australia,Japan,1,1
Bolivia,Ecuador,2,2
Colombia,Uruguay,2,2
Czech Republic,Azerbaijan,0,0
Denmark,Montenegro,0,1
Germany,Northern Ireland,2,0
Iran,South Korea,1,0
Iraq,Thailand,4,0
Kazakhstan,Romania,0,0
Lithuania,Malta,2,0
Norway,San Marino,4,1
Poland,Armenia,2,1
Qatar,Syria,1,0
Saudi Arabia,United Arab Emirates,3,0
Slovakia,Scotland,3,0
Slovenia,England,0,0
Uzbekistan,China,2,0
Andorra,Switzerland,1,2
Belarus,Luxembourg,1,1
Bosnia & Herzegovina,Cyprus,2,0
Estonia,Greece,0,2
Faroe Islands,Portugal,0,6
Gibraltar,Belgium,0,6
Latvia,Hungary,0,2
Netherlands,France,0,1
Sweden,Bulgaria,3,0
Albania,Spain,0,2
Algeria,Cameroon,1,1
Congo,Egypt,1,2
Finland,Croatia,0,1
FYR Macedonia,Italy,2,3
Iceland,Turkey,2,0
Israel,Liechtenstein,2,1
Moldova,Ireland,1,3
Serbia,Austria,3,2
Tunisia,Guinea,2,0
Ukraine,Kosovo,3,0
Wales,Georgia,1,1
Zambia,Nigeria,1,2
Armenia,Romania,0,5
Azerbaijan,Norway,1,0
Burkina Faso,South Africa,1,1
D.R. Congo,Libya,4,0
England,Malta,2,0
Gabon,Morocco,0,0
Germany,Czech Republic,3,0
Ivory Coast,Mali,3,1
Montenegro,Kazakhstan,5,0
Northern Ireland,San Marino,4,0
Poland,Denmark,3,2
Scotland,Lithuania,1,1
Senegal,Cape Verde,2,0
Slovenia,Slovakia,1,0
Belgium,Bosnia & Herzegovina,4,0
Brazil,Bolivia,5,0
Estonia,Gibraltar,4,0
France,Bulgaria,4,1
Ghana,Uganda,0,0
Greece,Cyprus,2,0
Hungary,Switzerland,2,3
Latvia,Faroe Islands,0,2
Luxembourg,Sweden,0,1
Netherlands,Belarus,4,1
Paraguay,Colombia,0,1
Peru,Argentina,2,2
Portugal,Andorra,6,0
Uruguay,Venezuela,3,0
Austria,Wales,2,2
China,Syria,0,1
Ecuador,Chile,3,0
FYR Macedonia,Israel,1,2
Iceland,Finland,3,2
Ireland,Georgia,1,0
Italy,Spain,1,1
Japan,Iraq,2,1
Kosovo,Croatia,0,6
Liechtenstein,Albania,0,2
Moldova,Serbia,0,3
Saudi Arabia,Australia,2,2
South Korea,Qatar,3,2
Turkey,Ukraine,2,2
United Arab Emirates,Thailand,3,1
Uzbekistan,Iran,0,1
Brazil,Colombia,2,1
Canada,El Salvador,3,1
Chile,Bolivia,,
Costa Rica,Panama,3,1
Guatemala,Saint Vincent and the Grenadines,9,3
Jamaica,Haiti,0,2
Mexico,Honduras,0,0
Peru,Ecuador,2,1
Uruguay,Paraguay,4,0
USA,Trinidad & Tobago,4,0
Venezuela,Argentina,2,2
Albania,FYR Macedonia,2,1
Andorra,Latvia,0,1
Belarus,France,0,0
Bosnia & Herzegovina,Estonia,5,0
Bulgaria,Luxembourg,4,3
China,Iran,0,0
Cyprus,Belgium,0,3
Faroe Islands,Hungary,0,0
Gibraltar,Greece,1,4
Iraq,Saudi Arabia,1,2
Qatar,Uzbekistan,0,1
Sweden,Netherlands,1,1
Switzerland,Portugal,2,0
Syria,South Korea,0,0
Thailand,Japan,0,2
United Arab Emirates,Australia,0,1
Croatia,Turkey,1,1
Finland,Kosovo,1,1
Georgia,Austria,1,2
Israel,Italy,1,3
Serbia,Ireland,2,2
Spain,Liechtenstein,8,0
Ukraine,Iceland,1,1
Wales,Moldova,4,0
Czech Republic,Northern Ireland,0,0
Denmark,Armenia,1,0
Kazakhstan,Poland,2,2
Lithuania,Slovenia,2,2
Malta,Scotland,1,5
Norway,Germany,0,3
Romania,Montenegro,1,1
San Marino,Azerbaijan,0,1
Slovakia,England,0,1
El Salvador,Mexico,1,3
Haiti,Costa Rica,0,1
Panama,Jamaica,2,0
Trinidad & Tobago,Guatemala,2,2
Argentina,Uruguay,1,0
Honduras,Canada,2,1
Paraguay,Chile,2,1
Saint Vincent and the Grenadines,USA,0,6
Australia,Iraq,2,0
Bolivia,Peru,,
Colombia,Venezuela,2,0
Ecuador,Brazil,0,3
Fiji,Vanuatu,2,3
Iran,Qatar,2,0
Japan,United Arab Emirates,1,2
New Caledonia,Samoa,7,0
New Zealand,Fiji,3,1
New Zealand,Solomon Islands,1,0
Papua New Guinea,New Caledonia,1,1
Papua New Guinea,Samoa,8,0
Papua New Guinea,Tahiti,2,2
Saudi Arabia,Thailand,1,0
Solomon Islands,Fiji,0,1
South Korea,China,3,2
Tahiti,New Caledonia,1,1
Tahiti,Samoa,4,0
Uzbekistan,Syria,1,0
Vanuatu,New Zealand,0,5
Vanuatu,Solomon Islands,0,1
Argentina,Bolivia,2,0
Costa Rica,Jamaica,3,0
Honduras,El Salvador,2,0
Mexico,Canada,2,0
Panama,Haiti,1,0
Paraguay,Brazil,2,2
Trinidad & Tobago,Saint Vincent and the Grenadines,6,0
Uruguay,Peru,1,0
USA,Guatemala,4,0
Venezuela,Chile,1,4
Afghanistan,Singapore,2,1
Australia,Jordan,5,1
China,Qatar,2,0
Colombia,Ecuador,3,1
India,Turkmenistan,1,2
Iran,Oman,2,0
Iraq,Vietnam,1,0
Japan,Syria,5,0
Lebanon,Myanmar,1,1
Maldives,Bhutan,4,2
Palestine,East Timor,7,0
Philippines,North Korea,3,2
South Korea,Kuwait,,
Tajikistan,Kyrgyzstan,0,1
United Arab Emirates,Saudi Arabia,1,1
Uzbekistan,Bahrain,1,0
Brazil,Uruguay,2,2
Canada,Mexico,0,3
El Salvador,Honduras,2,2
Guatemala,USA,2,0
Haiti,Panama,0,0
Jamaica,Costa Rica,1,1
Peru,Venezuela,2,2
Saint Vincent and the Grenadines,Trinidad & Tobago,2,3
Australia,Tajikistan,7,0
Bahrain,Yemen,3,0
Bolivia,Colombia,2,3
Chile,Argentina,1,2
China,Maldives,4,0
Ecuador,Paraguay,2,2
Iran,India,4,0
Iraq,Thailand,2,2
Japan,Afghanistan,5,0
Jordan,Bangladesh,8,0
Kuwait,Laos,,
Oman,Guam,1,0
Qatar,Hong Kong,2,0
Saudi Arabia,Malaysia,2,0
South Korea,Lebanon,1,0
Syria,Cambodia,6,0
United Arab Emirates,Palestine,2,0
Uzbekistan,Philippines,1,0
Vietnam,Chinese Taipei,4,1
Brazil,Peru,3,0
El Salvador,Canada,0,0
Haiti,Jamaica,0,1
Panama,Costa Rica,1,2
Algeria,Tanzania,7,0
Bangladesh,Australia,0,4
Bhutan,Qatar,0,3
Burkina Faso,Benin,2,0
Cambodia,Japan,0,2
Cameroon,Niger,0,0
Cape Verde,Kenya,2,0
Chinese Taipei,Iraq,0,2
Colombia,Argentina,0,1
Congo,Ethiopia,2,1
East Timor,Saudi Arabia,0,10
Egypt,Chad,4,0
Ghana,Comoros,2,0
Guam,Iran,0,6
Honduras,Mexico,0,2
Hong Kong,China,0,0
Ivory Coast,Liberia,3,0
Kyrgyzstan,Jordan,1,0
Laos,South Korea,0,5
Malaysia,United Arab Emirates,1,2
Mali,Botswana,2,0
Nigeria,Swaziland,2,0
North Korea,Bahrain,2,0
Paraguay,Bolivia,2,1
Rwanda,Libya,1,3
Saint Vincent and the Grenadines,Guatemala,0,4
Senegal,Madagascar,3,0
Singapore,Syria,1,2
South Africa,Angola,1,0
Trinidad & Tobago,USA,0,0
Tunisia,Mauritania,2,1
Turkmenistan,Oman,2,1
Uruguay,Chile,3,0
Venezuela,Ecuador,1,3
Yemen,Uzbekistan,1,3
D.R. Congo,Burundi,2,2
Equatorial Guinea,Morocco,1,0
Guinea,Namibia,2,0
Uganda,Togo,3,0
Zambia,Sudan,2,0
Argentina,Brazil,1,1
Botswana,Mali,2,1
Canada,Honduras,1,0
Chad,Egypt,1,0
Costa Rica,Haiti,1,0
Ethiopia,Congo,3,4
Gabon,Mozambique,,
Guatemala,Trinidad & Tobago,1,2
Jamaica,Panama,0,2
Mexico,El Salvador,3,0
Peru,Paraguay,1,0
Tanzania,Algeria,2,2
USA,Saint Vincent and the Grenadines,6,1
Angola,South Africa,1,3
Comoros,Ghana,0,0
Kenya,Cape Verde,1,0
Liberia,Ivory Coast,0,1
Libya,Rwanda,1,0
Madagascar,Senegal,2,2
Mauritania,Tunisia,1,2
Niger,Cameroon,0,3
Swaziland,Nigeria,0,0
Afghanistan,Cambodia,3,0
Australia,Kyrgyzstan,3,0
Benin,Burkina Faso,2,1
Bolivia,Venezuela,4,2
Burundi,D.R. Congo,2,3
Chile,Colombia,1,1
China,Bhutan,12,0
Ecuador,Uruguay,2,1
India,Guam,1,0
Iran,Turkmenistan,3,1
Lebanon,Laos,7,0
Maldives,Hong Kong,0,1
Morocco,Equatorial Guinea,2,0
Namibia,Guinea,0,1
Palestine,Malaysia,6,0
Philippines,Yemen,0,1
Singapore,Japan,0,3
South Korea,Myanmar,4,0
Tajikistan,Bangladesh,5,0
Thailand,Chinese Taipei,4,2
Togo,Uganda,0,1
United Arab Emirates,East Timor,8,0
Uzbekistan,North Korea,3,1
Mozambique,Gabon,1,0
Sudan,Zambia,0,1
Palestine,Saudi Arabia,0,0
Swaziland,Djibouti,2,1
Brazil,Venezuela,3,1
Paraguay,Argentina,0,0
Peru,Chile,3,4
Uruguay,Colombia,3,0
Bahrain,Philippines,2,0
Bhutan,Hong Kong,0,1
Botswana,Eritrea,3,1
Burundi,Seychelles,2,0
East Timor,Malaysia,0,1
Ecuador,Bolivia,2,0
Guinea Bissau,Liberia,1,3
Jordan,Tajikistan,3,0
Kuwait,Lebanon,0,0
Kyrgyzstan,Bangladesh,2,0
Lesotho,Comoros,1,1
Madagascar,Central Africa,2,2
Mauritania,South Sudan,4,0
Myanmar,Laos,3,1
Namibia,Gambia,2,1
Niger,Somalia,4,0
North Korea,Yemen,1,0
Oman,India,3,0
Qatar,Maldives,4,0
Sierra Leone,Chad,2,1
Singapore,Cambodia,2,1
Syria,Afghanistan,5,2
Turkmenistan,Guam,1,0
Vietnam,Thailand,0,3
Ethiopia,Sao Tome and Principe,3,0
Kenya,Mauritius,0,0
Malawi,Tanzania,1,0
Central Africa,Madagascar,0,3
Chad,Sierra Leone,1,0
Eritrea,Botswana,0,2
Argentina,Ecuador,0,2
Chile,Brazil,2,0
Djibouti,Swaziland,0,6
Gambia,Namibia,1,1
Somalia,Niger,0,2
